日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2025-08-08,3635.13,822,179,643,660,25,635,480,4,476
2025-08-11,3647.55,1381,45,1336,1048,16,1032,671,2,669
2025-08-12,3665.92,945,104,841,705,17,688,449,4,445
2025-08-13,3683.46,1045,99,946,830,26,804,526,6,520
2025-08-14,3666.44,360,609,-249,282,81,201,196,12,184
2025-08-15,3696.77,966,149,817,785,37,748,508,7,501
2025-08-18,3728.03,1382,96,1286,1079,19,1060,627,3,624
2025-08-19,3727.29,1211,87,1124,900,21,879,524,7,517
2025-08-20,3766.21,1514,44,1470,1106,12,1094,617,4,613
2025-08-21,3771.1,965,48,917,624,5,619,409,1,408
2025-08-22,3825.76,1128,58,1070,865,13,852,533,3,530
2025-08-25,3883.56,1547,31,1516,1109,3,1106,754,1,753
2025-08-26,3868.38,1456,66,1390,1022,11,1011,656,2,654
2025-08-27,3800.35,353,532,-179,309,51,258,226,9,217
2025-08-28,3843.6,658,738,-80,588,83,505,447,16,431
2025-08-29,3857.93,551,924,-373,486,85,401,400,17,383
2025-09-01,3875.53,774,478,296,649,79,570,527,14,513
2025-09-02,3858.13,361,1152,-791,280,114,166,211,18,193
2025-09-03,3813.56,236,2118,-1882,203,300,-97,160,45,115
2025-09-04,3765.88,205,1364,-1159,172,154,18,108,17,91
2025-09-05,3812.51,486,95,391,411,43,368,318,10,308
2025-09-08,3826.84,660,101,559,549,32,517,439,8,431
2025-09-09,3807.29,430,442,-12,363,68,295,290,12,278
2025-09-10,3812.22,392,319,73,310,58,252,234,13,221
2025-09-11,3875.31,504,52,452,428,16,412,358,6,352
2025-09-12,3870.6,456,158,298,377,60,317,325,15,310
2025-09-15,3860.5,487,343,144,399,126,273,327,30,297
2025-09-16,3861.87,649,194,455,523,80,443,429,29,400
2025-09-17,3876.34,564,218,346,469,69,400,411,21,390
2025-09-18,3831.66,334,887,-553,293,289,4,275,48,227
2025-09-19,3820.09,284,953,-669,237,344,-107,215,50,165
2025-09-22,3828.58,362,1165,-803,298,539,-241,277,84,193
2025-09-23,3821.83,329,1937,-1608,257,883,-626,233,95,138
2025-09-24,3853.64,529,174,355,402,60,342,381,13,368
2025-09-25,3853.3,362,935,-573,280,455,-175,267,68,199
2025-09-26,3828.11,282,1039,-757,205,420,-215,194,76,118
2025-09-29,3862.53,391,491,-100,276,249,27,266,65,201
2025-09-30,3882.78,518,520,-2,346,270,76,325,77,248
2025-10-09,3933.97,768,517,251,456,238,218,436,57,379
2025-10-10,3897.03,539,479,60,306,150,156,277,23,254
2025-10-13,3889.5,520,982,-462,302,404,-102,276,70,206
2025-10-14,3865.23,385,1343,-958,205,535,-330,188,82,106
2025-10-15,3912.21,553,97,456,286,28,258,264,5,259
2025-10-16,3916.23,329,920,-591,179,420,-241,163,78,85
2025-10-17,3839.76,185,2115,-1930,102,1037,-935,87,211,-124
2025-10-20,3863.89,324,322,2,172,136,36,154,42,112
2025-10-21,3916.33,515,56,459,259,24,235,217,7,210
2025-10-22,3913.76,497,253,244,206,99,107,170,28,142
2025-10-23,3922.41,763,314,449,261,103,158,209,22,187
2025-10-24,3950.31,530,153,377,216,73,143,187,24,163
2025-10-27,3996.94,709,116,593,308,48,260,274,21,253
2025-10-28,3988.22,675,239,436,254,98,156,225,31,194
2025-10-29,4016.33,583,254,329,309,129,180,282,37,245
2025-10-30,3986.9,402,654,-252,227,339,-112,204,96,108
2025-10-31,3954.79,614,194,420,240,65,175,213,21,192
2025-11-03,3976.52,974,268,706,381,87,294,331,30,301
2025-11-04,3960.19,735,643,92,293,224,69,237,60,177
2025-11-05,3969.25,1017,416,601,427,141,286,359,32,327
2025-11-06,4007.76,812,168,644,403,85,318,362,32,330
2025-11-07,3997.56,828,438,390,399,210,189,351,50,301
2025-11-10,4018.6,1173,280,893,478,106,372,390,16,374
2025-11-11,4002.76,1205,397,808,471,164,307,393,31,362
2025-11-12,4000.14,733,635,98,354,301,53,298,58,240
2025-11-13,4029.5,1148,157,991,521,77,444,445,21,424
2025-11-14,3990.49,911,621,290,434,274,160,354,46,308
2025-11-17,3972.03,866,519,347,420,190,230,356,31,325
2025-11-18,3939.81,371,849,-478,170,312,-142,148,60,88
2025-11-19,3946.74,247,1412,-1165,145,620,-475,131,125,6
2025-11-20,3931.05,210,1525,-1315,109,704,-595,102,179,-77
2025-11-21,3834.89,113,3250,-3137,49,1784,-1735,44,514,-470
2025-11-24,3836.77,240,606,-366,103,256,-153,78,82,-4
2025-11-25,3870.02,269,206,63,124,99,25,98,36,62
2025-11-26,3864.18,223,498,-275,134,266,-132,102,99,3
2025-11-27,3875.26,206,421,-215,126,230,-104,101,87,14
2025-11-28,3888.6,288,115,173,158,63,95,123,41,82
2025-12-01,3914.01,386,120,266,177,49,128,135,21,114
2025-12-02,3897.71,297,376,-79,182,217,-35,129,84,45
2025-12-03,3878.0,241,772,-531,157,468,-311,122,180,-58
2025-12-04,3875.79,198,1109,-911,116,616,-500,89,273,-184
2025-12-05,3902.81,367,159,208,216,59,157,164,29,135
2025-12-08,3924.08,505,231,274,244,106,138,191,49,142
2025-12-09,3909.52,345,740,-395,166,413,-247,128,193,-65
2025-12-10,3900.5,397,633,-236,195,333,-138,157,171,-14
2025-12-11,3873.32,232,1691,-1459,127,1073,-946,96,473,-377
2025-12-12,3889.35,430,1297,-867,191,774,-583,160,372,-212
2025-12-15,3867.92,366,1096,-730,170,734,-564,126,384,-258
2025-12-16,3824.81,202,2145,-1943,100,1456,-1356,77,782,-705
2025-12-17,3870.28,316,731,-415,112,473,-361,87,298,-211
2025-12-18,3876.37,315,488,-173,144,291,-147,104,131,-27
2025-12-19,3890.45,566,85,481,208,28,180,144,17,127
2025-12-22,3917.36,607,109,498,202,40,162,148,24,124
2025-12-23,3919.98,440,351,89,150,200,-50,122,135,-13
2025-12-24,3940.95,699,96,603,224,35,189,168,21,147
