日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日,竞价涨幅今日,开盘价:不复权今日,收盘价:不复权今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,市场20日高低差
20260408,600498.SH,烽火通信,801770,通信,0.0345181600608428,1.0,57504780.0,3672330.0,0.06386129987802754,0.013981099338966414,71,2.643,50.0,51.25,-0.367,0.717,84434893.0,116334543.0,360
20260410,601899.SH,紫金矿业,801050,有色金属,0.0071515056489055,8.0,60544689.0,4163703.0,0.06877073891650513,0.008105725709912612,82,0.974,34.18,33.75,-0.265,1.824,220659003.0,407954111.0,315
20260410,600666.SH,奥瑞德,801080,电子,0.0122053423572612,3.0,96224048.0,3838256.0,0.03988873966308298,0.01805718922597254,1,0.0,6.36,6.3,-8.252,5.178,837869455.0,176910880.0,315
20260410,600126.SH,杭钢股份,801040,钢铁,0.006348027774,12.0,135080970.0,2127627.0,0.01575075304833834,0.032620871769012356,19,-5.163,8.8,8.83,-7.324,0.0,446265941.0,58341711.0,315
20260414,002328.SZ,新朋股份,801880,汽车,0.0067738273482127,11.0,90645103.0,1209433.44,0.013342512722391633,0.03896604924812333,8,3.346,10.41,11.84,-3.237,3.374,230940932.0,71999775.0,592
20260414,601138.SH,工业富联,801080,电子,0.0142190845177903,4.0,54775900.0,559053.0,0.01020618556701031,0.007274454105417914,50,1.382,56.25,58.92,-0.536,1.655,135714872.0,190944086.0,592
20260415,600105.SH,永鼎股份,801770,通信,0.0071923000082265,5.0,50409054.0,-763830.0,-0.015152635080198092,0.0074519106850013325,17,0.215,36.83,37.54,-2.415,2.192,184065298.0,217591489.0,308
20260416,002328.SZ,新朋股份,801880,汽车,0.0057079865342117,4.0,74673500.0,7246500.0,0.09704245816789088,0.02740926630549605,7,0.0,11.9,13.4,5.042,6.475,228940241.0,165739438.0,943
20260416,002050.SZ,三花智控,801110,家用电器,0.0038534631398172,7.0,111290775.0,3647925.0,0.03277832327072931,0.026945355613138905,91,3.081,46.11,45.78,-2.317,1.652,92333383.0,90224581.0,943
20260416,300058.SZ,蓝色光标,801760,传媒,0.005093569368672,5.0,63611362.0,930878.25,0.014633836169079354,0.007742302188128333,20,2.556,16.74,17.2,-4.086,2.008,503350143.0,658445190.0,943
20260420,002475.SZ,立讯精密,801080,电子,0.0034027517789836,3.0,240134890.0,1893544.6,0.007885337278560396,0.030450838430444938,93,4.837,61.54,65.73,-0.167,2.876,134342400.0,199642241.0,1251
20260420,002491.SZ,通鼎互联,801770,通信,0.0039859419949226,2.0,104338126.0,487174.4,0.00466918871055821,0.03321133934843141,63,7.733,16.0,16.64,-3.137,11.971,211536548.0,260633872.0,1251
20260420,601869.SH,长飞光纤,801770,通信,0.0039859419949226,2.0,121349691.0,275059.05,0.002266664609801108,0.021787447066190395,75,2.279,374.21,385.0,-0.422,5.291,15223111.0,18079926.0,1251
20260421,002580.SZ,圣阳股份,801730,电力设备,0.0012812878620993,5.0,282884620.0,1790292.4,0.0063287017866153344,0.08226934453508217,1,-9.394,29.7,29.7,-1.727,4.978,104899111.0,82237602.0,656
